sample_group	scientific_name	latitude_wgs84	longitude_wgs84	etrs_tm35fin_easting_m	etrs_tm35fin_northing_m	coordinate_accuracy_m	temp_mean_7d	temp_mean_14d	temp_mean_30d	temp_min_7d	temp_max_7d	rain_mean_7d	rain_mean_14d	rain_mean_30d	rainy_days_14d	event_year	event_month	day_of_year	Has Boletus edulis	longitude_partition
other_agaricoid	Sarcomyxa serotina	61.18509	21.63382	211682.103	6795246.318	10	8.6243	7.2124	7.0339	5.1273	12.2521	1.9954	2.9246	1.9184	10	2025	11	312	0	1
boletus_edulis	Boletus edulis	62.480789	21.636938	223765.531	6939219.82	1	15.7542	15.6745	16.1118	8.2284	22.9202	1.4508	1.3157	2.9069	7	2024	8	238	1	1
boletus_edulis	Boletus edulis	60.876073	21.637275	209047.257	6760891.433	1000	7.9989	7.2648	10.2258	-0.5048	15.2883	6.1393	4.2464	3.9338	10	2019	10	275	1	1
boletus_edulis	Boletus edulis	63.11921	21.64055	229871.068	7010151.789	10	16.349	16.2025	16.275	11.6286	22.9471	8.1647	5.5011	4.4101	8	2022	8	219	1	1
other_agaricoid	Amanita rubescens	63.096982	21.645546	229915.956	7007660.55	10	16.6338	16.0868	15.1404	9.0262	26.4645	0.4658	2.5723	1.2715	5	2021	6	174	0	1
other_agaricoid	Rhodocollybia butyracea	61.552847	21.646399	215718.365	6836058.591	1000	11.6593	12.958	14.5267	4.4205	17.6948	3.4518	4.544	2.8946	12	2025	9	269	0	1
other_agaricoid	Clitocybe phyllophila	60.880551	21.656202	210113.222	6761305.13	1000	8.1285	7.4016	10.3652	-0.4535	15.3658	6.0381	4.1844	3.8924	10	2019	10	275	0	1
other_agaricoid	Strobilurus esculentus	60.880551	21.656202	210113.222	6761305.13	1000	8.1285	7.4016	10.3652	-0.4535	15.3658	6.0381	4.1844	3.8924	10	2019	10	275	0	1
other_agaricoid	Russula foetens	63.07663	21.65858	230383.711	7005344.001	100	15.0593	14.7756	14.8068	7.4828	20.9667	2.1763	1.1231	2.9725	7	2026	9	246	0	1
boletus_edulis	Boletus edulis	60.878706	21.66023	210314.654	6761082.279	1000	8.1285	7.4016	10.3652	-0.4535	15.3658	6.0381	4.1844	3.8924	10	2019	10	275	1	1
other_agaricoid	Crucibulum laeve	63.089076	21.670999	231124.549	7006675.06	10	13.0295	8.6745	5.4294	0.8763	24.0532	0.0954	0.1808	0.6784	3	2024	5	138	0	1
boletus_edulis	Boletus edulis	63.08392	21.672952	231175.277	7006093.874	10	14.9416	14.9841	16.4488	10.4054	20.1419	4.7471	3.1245	3.4978	8	2023	8	242	1	1
boletus_edulis	Boletus edulis	63.088746	21.674348	231290.186	7006624.359	1	11.4915	11.0688	11.8023	4.6964	18.2951	1.0884	3.4385	3.7799	6	2020	9	270	1	1
boletus_edulis	Boletus edulis	63.088053	21.675257	231329.571	7006543.538	1	11.4915	11.0688	11.8023	4.6964	18.2951	1.0884	3.4385	3.7799	6	2020	9	270	1	1
other_agaricoid	Russula aeruginea	63.0872	21.6794	231530.386	7006431.403	1	5.597	8.0709	12.0499	-1.633	11.1753	0.741	3.3969	3.1061	11	2019	9	267	0	1
boletus_edulis	Boletus edulis	63.088271	21.680592	231600.312	7006545.443	1	11.1959	9.7898	12.4371	5.4277	15.7511	2.2819	1.3697	2.4042	6	2022	9	259	1	1
boletus_edulis	Boletus edulis	60.897047	21.681076	211609.628	6763028.481	1000	7.3821	7.6353	11.4698	-2.6275	15.429	2.3229	2.3097	3.4189	10	2019	9	272	1	1
other_agaricoid	Mycena pura	60.897047	21.681076	211609.628	6763028.481	1000	7.3821	7.6353	11.4698	-2.6275	15.429	2.3229	2.3097	3.4189	10	2019	9	272	0	1
boletus_edulis	Boletus edulis	63.08189	21.682474	231636.255	7005828.423	10	11.4915	11.0688	11.8023	4.6964	18.2951	1.0884	3.4385	3.7799	6	2020	9	270	1	1
other_agaricoid	Cortinarius bolaris	63.079404	21.687919	231887.681	7005529.386	10	15.9786	18.2423	17.1437	7.0805	23.5915	3.7913	3.1853	3.4674	7	2022	8	239	0	1
boletus_edulis	Boletus edulis	61.551097	21.69528	218294.034	6835651.556	1	7.0539	7.9372	11.8441	-0.1889	14.7212	2.2434	2.2037	3.4983	7	2019	9	271	1	1
boletus_edulis	Boletus edulis	63.05838	21.696365	232119.867	7003157.608	1000	16.2015	14.8018	13.9912	11.3763	23.8449	2.9575	1.524	2.6988	8	2025	9	252	1	1
other_agaricoid	Lactarius flexuosus	63.12652	21.700061	232932.683	7010715.034	1	19.2187	17.651	17.1558	10.6591	30.0963	1.2801	4.1107	3.8783	7	2022	8	229	0	1
boletus_edulis	Boletus edulis	60.62528	21.70071	210228.131	6732740.481	10	11.2014	12.9824	14.9509	4.486	18.9961	1.7321	4.6961	3.4363	11	2025	9	270	1	1
boletus_edulis	Boletus edulis	63.0794	21.719	233453.732	7005399.488	1	12.4843	13.242	14.0327	5.6769	17.9851	1.3552	2.0349	2.2197	9	2018	9	264	1	1
